,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.5364238410596026,0.45681818181818185,0.31293881644934807,0.40636042402826855,0.48214285714285715,0.5202863961813843,0.3753644314868805,0.3305139882888744,0.6080870917573873,0.2661896243291592,0.3772,0.42951256525419435,0.4295125652541944
recall,0.486,0.402,0.312,0.115,0.081,0.218,0.515,0.508,0.391,0.744,0.3772,0.37720000000000004,0.3772
f1-score,0.5099685204616998,0.42765957446808506,0.31246870305458185,0.1792673421667966,0.1386986301369863,0.30725863284002825,0.43423271500843175,0.40047299960583366,0.47595861229458314,0.392094861660079,0.3772,0.3578080591697105,0.35780805916971054
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.3772,10000.0,10000.0
