,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.3184271395528142,0.3166458072590738,0.2535211267605634,0.18404907975460122,0.22896281800391388,0.20663900414937758,0.27364438839848676,0.39655172413793105,0.22251446607048922,0.28547008547008546,0.2553,0.2686425639557336,0.2686425639557336
recall,0.413,0.253,0.18,0.06,0.351,0.249,0.434,0.023,0.423,0.167,0.2553,0.25529999999999997,0.2553
f1-score,0.3595994775794515,0.2812673707615342,0.2105263157894737,0.09049773755656108,0.27714172917489144,0.22585034013605443,0.3356535189481825,0.043478260869565216,0.2916235780765253,0.21072555205047316,0.2553,0.23263638809427123,0.23263638809427128
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.2553,10000.0,10000.0
