,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
149,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 0.01, 'degree': 4}",0.20777584448311034,0.21971560568788623,0.1999879995199808,0.20915981656365912,88
150,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 0.01, 'degree': 5}",0.19385612287754245,0.20639587208255836,0.20040801632065283,0.2002200037602512,119
151,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 0.01, 'degree': 6}",0.20411591768164636,0.2137757244855103,0.2155886235449418,0.21116008857069948,82
152,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 0.01, 'degree': 7}",0.20153596928061437,0.2117957640847183,0.21432857314292572,0.20922010216941947,87
153,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 0.01, 'degree': 20}",0.20459590808183836,0.2137157256854863,0.22122884915396615,0.2131801609737636,79
154,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 2}",0.1009179816403672,0.11483770324593508,0.16152646105844234,0.12576071531491487,399
155,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 3}",0.10829783404331914,0.15359692806143876,0.17526701068042722,0.14572059092839504,324
156,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 4}",0.1009179816403672,0.16373672526549468,0.09930397215888635,0.12131955968824942,423
157,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 5}",0.14579708405831884,0.10121797564048719,0.09936397455898235,0.11545967808592945,449
158,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 6}",0.12209755804883902,0.09881802363952721,0.13338533541341654,0.11810030570059427,438
159,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 7}",0.17147657046859063,0.09977800443991121,0.09816392655706228,0.12313950048852139,411
160,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 20}",0.10193796124077519,0.1496970060598788,0.16668666746669866,0.13944054492245087,349
161,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 2}",0.15473690526189476,0.15797684046319074,0.1749669986799472,0.16256024813501088,265
162,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 3}",0.1628367432651347,0.19895602087958242,0.1903876155046202,0.1840601265497791,165
163,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 4}",0.1504769904601908,0.1507169856602868,0.16110644425777032,0.15410014012608264,292
164,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 5}",0.1876762464750705,0.14567708645827082,0.11610464418576744,0.1498193257063696,313
165,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 6}",0.14117717645647088,0.125157496850063,0.13956558262330493,0.13530008530994628,367
166,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 7}",0.1627767444651107,0.15557688846223075,0.13320532821312853,0.15051965371349,309
167,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 20}",0.1391972160556789,0.14177716445671087,0.16008640345613825,0.14702026132284265,320
168,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 2}",0.15347693046139077,0.16799664006719867,0.1656666266650666,0.1623800657312187,266
169,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 3}",0.1730965380692386,0.14159716805663886,0.14472578903156127,0.15313983171914625,298
170,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 4}",0.1742965140697186,0.13121737565248695,0.1702868114724589,0.15860023373155482,280
171,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 5}",0.11723765524689506,0.14513709725805485,0.1451458058322333,0.1358401861123944,362
172,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 6}",0.18503629927401452,0.11855762884742305,0.11232449297971919,0.1386394737003856,351
173,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 7}",0.12113757724845503,0.12179756404871903,0.1392655706228249,0.1274002373066663,395
174,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 20}",0.1997960040799184,0.10289794204115918,0.11682467298691948,0.1398395397026657,348
175,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 2}",0.19337613247735044,0.12599748005039899,0.16140645625825034,0.1602600229286666,272
176,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 3}",0.16601667966640668,0.11921761564768704,0.11604464178567142,0.13375964569992171,371
177,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 4}",0.19157616847663048,0.14861702765944682,0.12582503300132006,0.15533940971246576,288
178,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 5}",0.14687706245875082,0.1877362452750945,0.10248409936397455,0.1456991356992733,325
179,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 6}",0.14381712365752686,0.19031619367612648,0.12702508100324014,0.15371946611229784,294
180,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 7}",0.10301793964120717,0.0994180116397672,0.16074642985719428,0.12106079371272288,424
181,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 20}",0.1754964900701986,0.1882762344753105,0.14274570982839313,0.16883947812463407,235
182,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 2}",0.2239755204895902,0.23009539809203816,0.22860914436577462,0.22756002098246766,40
183,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 3}",0.1981160376792464,0.1751364972700546,0.23040921636865475,0.20122058377265192,116
184,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 4}",0.24257514849703005,0.19103617927641448,0.1891875675027001,0.20759963175871488,92
185,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 5}",0.17111657766844662,0.23951520969580609,0.13644545781831274,0.1823590817275218,173
186,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 6}",0.16817663646727066,0.21827563448731024,0.22962918516740669,0.20536048537399587,101
187,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 7}",0.20135597288054238,0.18077638447231056,0.2313692547701908,0.20450053737434792,105
188,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 20}",0.19409611807763844,0.14609707805843883,0.2356894275771031,0.19196087457106012,140
189,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.001, 'degree': 2}",0.1874362512749745,0.20693586128277436,0.17226689067562703,0.18887966774445863,147
190,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.001, 'degree': 3}",0.1870162596748065,0.22313553728925423,0.2049681987279491,0.20503999856400326,104
191,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.001, 'degree': 4}",0.1507169856602868,0.21881562368752625,0.19452778111124444,0.1880201301530192,150
192,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.001, 'degree': 5}",0.20621587568248634,0.22205555888882222,0.18798751950078002,0.20541965135736287,100
193,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.001, 'degree': 6}",0.17921641567168656,0.20657586848263035,0.20532821312852514,0.19704016576094732,127
194,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.001, 'degree': 7}",0.20915581688366233,0.21707565848683028,0.14784591383655346,0.19135912973568203,142
195,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.001, 'degree': 20}",0.12941741165176696,0.1974560508789824,0.20088803552142084,0.1759204993507234,203
196,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.01, 'degree': 2}",0.21005579888402232,0.2272154556908862,0.23640945637825514,0.22456023698438787,54
197,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.01, 'degree': 3}",0.2259554808903822,0.2261354772904542,0.218708748349934,0.22359990217692347,58
198,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.01, 'degree': 4}",0.22031559368812623,0.21497570048599027,0.21942877715108605,0.21824002377506754,70
199,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.01, 'degree': 5}",0.22379552408951822,0.22883542329153417,0.21828873154926198,0.22363989297677145,57
200,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.01, 'degree': 6}",0.2234955300893982,0.22337553248935021,0.22986919476779072,0.2255800857821797,48
201,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.01, 'degree': 7}",0.23159536809263814,0.21905561888762226,0.22086883475339014,0.2238399405778835,56
202,"{'C': 1e-06, 'kernel': 'poly', 'gamma': 0.01, 'degree': 20}",0.2267354652906942,0.2255354892902142,0.22272890915636626,0.22499995457909153,51
203,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 2}",0.1004979900401992,0.09773804523909521,0.1062642505700228,0.10150009528310573,484
204,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 3}",0.10121797564048719,0.09755804883902322,0.09858394335773431,0.09911998927908157,494
205,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 4}",0.10217795644087119,0.1007979840403192,0.10128405136205448,0.10141999728108163,486
206,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 5}",0.10247795044099119,0.1006179876402472,0.10140405616224649,0.10149999808116161,485
207,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 6}",0.10271794564108717,0.10283794324113518,0.10248409936397455,0.10267999608206564,478
208,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 7}",0.1000179996400072,0.1006179876402472,0.0984639385575423,0.09969997527926557,493
209,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 20}",0.09467810643787124,0.1481370372592548,0.09924396975879035,0.11401970448530546,452
210,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 2}",0.1632567348653027,0.13565728685426293,0.17874714988599544,0.15922039053518702,276
211,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 3}",0.13505729885402293,0.1744165116697666,0.10392415696627866,0.13779932249668939,354
212,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 4}",0.10841783164336713,0.1513169736605268,0.15378615144605784,0.13784031891665058,353
213,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 5}",0.15515689686206277,0.125217495650087,0.12318492739709588,0.13451977330308187,368
214,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 6}",0.11981760364792704,0.10985780284394311,0.19140765630625226,0.14036102093270747,345
215,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 7}",0.17153656926861463,0.12287754244915101,0.15342613704548183,0.1492800829210825,315
216,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 20}",0.14471710565788684,0.17225655486890262,0.10512420496819873,0.14069928849832938,343
217,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 2}",0.1501169976600468,0.1483770324593508,0.16812672506900275,0.15554025172946676,287
218,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 3}",0.18353632927341454,0.1403371932561349,0.18228729149165968,0.16872027134040302,236
219,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 4}",0.14477710445791084,0.14795704085918282,0.1345853834153366,0.14243984291081008,334
220,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 5}",0.13115737685246295,0.13067738645227095,0.12066482659306373,0.12749986329926585,394
221,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 6}",0.14363712725745484,0.15923681526369474,0.17430697227889116,0.1590603049333469,277
222,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 7}",0.14771704565908683,0.18023639527209456,0.17616704668186728,0.16804016253768292,240
223,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 20}",0.19391612167756644,0.16493670126597468,0.16968678747149887,0.17617987013834668,201
224,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 2}",0.10523789524209516,0.13877722445551088,0.16296651866074643,0.1356605461194508,364
225,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 3}",0.12227755444891102,0.11843763124737505,0.1141245649825993,0.1182799168929618,436
226,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 4}",0.1353572928541429,0.12137757244855103,0.13698547941917677,0.13124011490729023,380
227,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 5}",0.124617507649847,0.11345773084538309,0.12876515060602425,0.12228012970041813,416
228,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 6}",0.20075598488030238,0.11015779684406311,0.1140645625825033,0.14165944810228961,337
229,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 7}",0.126897462050759,0.14585708285834284,0.1345253810152406,0.13575997530811415,363
230,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 20}",0.12803743925121497,0.15575688486230274,0.1078243129725189,0.13053954569534554,385
231,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 2}",0.15221695566088678,0.19847603047939041,0.23808952358094324,0.19626083657374016,130
232,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 3}",0.21809563808723825,0.24281514369712606,0.1576263050522021,0.20617902894552212,99
233,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 4}",0.17213655726885463,0.2018359632807344,0.23574942997719908,0.20324065017559603,110
234,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 5}",0.20369592608147838,0.2278154436911262,0.23610944437777512,0.2225402713834599,62
235,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 6}",0.19241615167696646,0.18989620207595848,0.21792871714868595,0.2000803569672036,120
236,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 7}",0.2266154676906462,0.19163616727665447,0.21396855874234968,0.21074006456988345,84
