,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.061585426330566406,0.0024481274801555833,30.32090695699056,0.06851493794887843,manhattan,1,"{'metric': 'manhattan', 'n_neighbors': 1}",0.374272514549709,0.37259254814903703,0.3720148805952238,0.37295998109798995,0.0009575952509953572,17
1,0.05800112088521322,0.0010615200966762608,31.268577337265015,0.17761697194520623,manhattan,3,"{'metric': 'manhattan', 'n_neighbors': 3}",0.37217255654886905,0.3598128037439251,0.3671546861874475,0.36638001549341387,0.005075493957109057,21
2,0.05705428123474121,0.0008910340804400943,31.140658775965374,0.08338916863985799,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.38567228655426894,0.37883242335153294,0.3845553822152886,0.38302003070703017,0.0029959873551656958,12
3,0.056133667627970375,0.00024015243872506557,30.983209053675335,0.21891698574864377,manhattan,7,"{'metric': 'manhattan', 'n_neighbors': 7}",0.39311213775724485,0.38291234175316496,0.3841953678147126,0.3867399491083741,0.004536160645395341,6
4,0.05659031867980957,0.0008572019644113862,31.35568332672119,0.21996836613620108,manhattan,10,"{'metric': 'manhattan', 'n_neighbors': 10}",0.4006119877602448,0.39191216175676485,0.38707548301932077,0.39319987751211016,0.00560076774797814,1
5,0.059544881184895836,0.0008146965617071977,31.402453025182087,0.258930201894532,manhattan,25,"{'metric': 'manhattan', 'n_neighbors': 25}",0.3911921761564769,0.38327233455330895,0.38461538461538464,0.38635996510839016,0.0034606014484237645,9
6,0.05763872464497884,0.0009496268439225653,31.630993286768597,0.28498795052370784,manhattan,50,"{'metric': 'manhattan', 'n_neighbors': 50}",0.375172496550069,0.36995260094798105,0.3735749429977199,0.37290001349859003,0.0021838001886270264,18
7,0.05805579821268717,0.0004176443126517654,32.830520232518516,0.7089200351593372,manhattan,100,"{'metric': 'manhattan', 'n_neighbors': 100}",0.3595128097438051,0.3519529609407812,0.3541341653666147,0.3551999786837337,0.003176979383141228,24
8,0.0587767759958903,0.0006898699802525629,12.572794516881308,0.04329836379192896,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.379132417351653,0.376792464150717,0.36673466938677546,0.37421985029638183,0.0053783389742431435,15
9,0.05850831667582194,0.0009494901567431866,14.453065474828085,0.07751236907444393,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.37109257814843705,0.36623267534649306,0.3663746549861994,0.3678999694937099,0.002258259222085611,19
10,0.058371543884277344,0.0008620732068454455,15.05020538965861,0.13172358446131752,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.3889722205555889,0.3826123477530449,0.38095523820952837,0.384179935506054,0.003455526974456977,10
11,0.0565499464670817,0.0005275653257030361,15.475680669148764,0.06069991707258974,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.39413211735765286,0.3862122757544849,0.38827553102124085,0.38953997471112617,0.0033546073926750963,4
12,0.0576324462890625,0.00042852970112503593,16.122859636942547,0.08412814523289573,euclidean,10,"{'metric': 'euclidean', 'n_neighbors': 10}",0.39575208495830083,0.3871122577548449,0.3886355454218169,0.39049996271165427,0.0037655183263730955,2
13,0.05785433451334635,0.0009797791581121294,17.57673446337382,0.10565597887831661,euclidean,25,"{'metric': 'euclidean', 'n_neighbors': 25}",0.39317213655726885,0.38363232735345293,0.3827553102124085,0.38651992470771007,0.004717430913465428,7
14,0.05774442354838053,0.00042534704573286196,18.727327823638916,0.1240806874163414,euclidean,50,"{'metric': 'euclidean', 'n_neighbors': 50}",0.38189236215275696,0.374272514549709,0.37243489739589586,0.3761999246994539,0.004094475328278525,13
15,0.05849162737528483,0.0010745128047241004,20.244564453760784,0.059063126096069174,euclidean,100,"{'metric': 'euclidean', 'n_neighbors': 100}",0.36755264894702105,0.35591288174236513,0.3604944197767911,0.3613199834887258,0.0047876376726240415,22
16,0.05579503377278646,0.00033749777795681363,2.0060743490854898,0.01547297107447481,chebyshev,1,"{'metric': 'chebyshev', 'n_neighbors': 1}",0.3229735405291894,0.32267354652906943,0.31633265330613225,0.32065991345479705,0.003062285028721066,31
17,0.05559436480204264,0.0008806985743216002,2.502668301264445,0.03362089365047309,chebyshev,3,"{'metric': 'chebyshev', 'n_neighbors': 3}",0.3239335213295734,0.3161936761264775,0.3091923676947078,0.3164398550502529,0.006020567839695373,32
18,0.05649558703104655,0.0003791953040572784,2.739165703455607,0.032323722540649885,chebyshev,5,"{'metric': 'chebyshev', 'n_neighbors': 5}",0.3400131997360053,0.3353332933341333,0.3301332053282131,0.3351598994661173,0.004035353883663772,30
19,0.05744353930155436,0.0005865221853573743,2.920923391977946,0.02709781123793141,chebyshev,7,"{'metric': 'chebyshev', 'n_neighbors': 7}",0.3494930101397972,0.34325313493730125,0.3352934117364695,0.3426798522711893,0.005811117991425014,28
20,0.0566410223642985,0.0005413124759874552,3.1442414919535318,0.025578166727146856,chebyshev,10,"{'metric': 'chebyshev', 'n_neighbors': 10}",0.3550128997420052,0.3508729825403492,0.343933757350294,0.3499398798775495,0.00457091234280756,27
21,0.057580153147379555,0.000297856114478181,3.759967803955078,0.01629094398508495,chebyshev,25,"{'metric': 'chebyshev', 'n_neighbors': 25}",0.3595728085438291,0.35627287454250917,0.3497539901596064,0.3551998910819815,0.004079686977004637,25
