,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.6572649572649573,0.7720797720797721,0.6345177664974619,0.5346756152125279,0.6511387163561076,0.6078234704112337,0.704201680672269,0.7039777983348752,0.7719123505976095,0.8156359393232205,0.6868,0.6853228066750034,0.6853228066750034
recall,0.769,0.813,0.5,0.478,0.629,0.606,0.838,0.761,0.775,0.699,0.6868,0.6868,0.6868
f1-score,0.7087557603686635,0.7920116902094496,0.5592841163310962,0.5047518479408659,0.6398779247202441,0.6069103655483226,0.765296803652968,0.731379144641999,0.7734530938123753,0.7528271405492729,0.6868,0.6834547887775257,0.6834547887775257
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.6868,10000.0,10000.0
