,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
0,"{'kernel Size': 3, 'padding': 'same', 'AcFunc': 'relu', 'pool': 'max', 'Batch Size': 500, 'Epoch Size': 25, 'C': 0.0001, 'Num Nodes': (32, 64)}",0.5770084857940674,0.5681286454200745,0.5572422742843628,0.5674598018328348,2
1,"{'kernel Size': 3, 'padding': 'same', 'AcFunc': 'relu', 'pool': 'max', 'Batch Size': 500, 'Epoch Size': 25, 'C': 0.0001, 'Num Nodes': (64,)}",0.5789884328842163,0.5777884721755981,0.5857434272766113,0.5808401107788086,1
2,"{'kernel Size': 3, 'padding': 'same', 'AcFunc': 'relu', 'pool': 'max', 'Batch Size': 500, 'Epoch Size': 25, 'C': 0.0001, 'Num Nodes': (32,)}",0.5899081826210022,0.5546289086341858,0.5346813797950745,0.5597394903500875,3
3,"{'kernel Size': 3, 'padding': 'same', 'AcFunc': 'sigmoid', 'pool': 'max', 'Batch Size': 500, 'Epoch Size': 25, 'C': 0.0001, 'Num Nodes': (32, 64)}",0.09473810344934464,0.097678042948246,0.09816392511129379,0.09686002383629481,6
4,"{'kernel Size': 3, 'padding': 'same', 'AcFunc': 'sigmoid', 'pool': 'max', 'Batch Size': 500, 'Epoch Size': 25, 'C': 0.0001, 'Num Nodes': (64,)}",0.30323392152786255,0.28649428486824036,0.2707308232784271,0.2868196765581767,4
5,"{'kernel Size': 3, 'padding': 'same', 'AcFunc': 'sigmoid', 'pool': 'max', 'Batch Size': 500, 'Epoch Size': 25, 'C': 0.0001, 'Num Nodes': (32,)}",0.10271794348955154,0.09881802648305893,0.2604704201221466,0.1540021300315857,5
