,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.6810982048574445,0.7209302325581395,0.5566382460414129,0.42574257425742573,0.5488789237668161,0.5452775073028238,0.667590027700831,0.7051020408163265,0.7401415571284126,0.7408184679958028,0.6331,0.6332217782425436,0.6332217782425436
recall,0.645,0.775,0.457,0.43,0.612,0.56,0.723,0.691,0.732,0.706,0.6331,0.6331000000000001,0.6331
f1-score,0.662557781201849,0.7469879518072289,0.5019220208676551,0.42786069651741293,0.5787234042553191,0.5525407005426739,0.6941910705712914,0.6979797979797979,0.7360482654600302,0.7229902713773682,0.6331,0.6321801960580626,0.6321801960580626
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.6331,10000.0,10000.0
