,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
59,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 5}",0.17177656446871062,0.1009179816403672,0.16956678267130684,0.1474204429267949,430
60,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 6}",0.21521569568608628,0.18329633407331852,0.140645625825033,0.17971921852814596,346
61,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 7}",0.1880962380752385,0.12137757244855103,0.15240609624384976,0.15395996892254643,420
62,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 20}",0.16001679966400673,0.17117657646847062,0.11394455778231129,0.14837931130492954,427
63,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 2}",0.13187736245275095,0.17231655366892662,0.16812672506900275,0.15744021373022676,412
64,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 3}",0.18257634847303053,0.14303713925721487,0.14280571222848915,0.15613973331957817,417
65,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 4}",0.17963640727185456,0.10547789044219115,0.16512660506420257,0.15008030092608277,424
66,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 5}",0.18503629927401452,0.1867162656746865,0.16674666986679468,0.17949974493849855,348
67,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 6}",0.09863802723945521,0.1489170216595668,0.10326413056522261,0.11693972648808154,468
68,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 7}",0.12269754604907902,0.2001559968800624,0.17868714748589942,0.16718023013834693,392
69,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 20}",0.13301733965320695,0.1366772664546709,0.12528501140045603,0.13165987250277797,450
70,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 2}",0.15983680326393473,0.20213595728085437,0.16644665786631466,0.1761398061370346,360
71,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 3}",0.19757604847903043,0.18803623927521448,0.20052802112084483,0.19538010295836328,302
72,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 4}",0.13877722445551088,0.1757964840703186,0.18726749069962798,0.16728039974181916,389
73,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 5}",0.19223615527689447,0.14363712725745484,0.15096603864154567,0.16227977372529834,402
74,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 6}",0.15605687886242275,0.19181616367672646,0.18726749069962798,0.17838017774625906,353
75,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 7}",0.1774764504709906,0.15683686326273474,0.13548541941677666,0.156599577716834,415
76,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 20}",0.20489590208195835,0.15215695686086278,0.14130565222608904,0.16611950372297005,395
77,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 2}",0.1629567408651827,0.15575688486230274,0.11994479779191168,0.1462194745064657,433
78,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 3}",0.14351712965740684,0.22241555168896623,0.13350534021360855,0.16647934051999388,393
79,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 4}",0.23495530089398212,0.12203755924881503,0.17706708268330734,0.17801998094203483,356
80,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 5}",0.1618167636647267,0.12605747885042298,0.19086763470538823,0.1595806257401793,410
81,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 6}",0.16193676126477471,0.1635567288654227,0.20202808112324494,0.17584052375114745,362
82,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 7}",0.1858762824743505,0.1742365152696946,0.1794071762870515,0.17983999134369888,345
83,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 20}",0.10271794564108717,0.12437751244975101,0.15732629305172208,0.12814058371418677,456
84,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 2}",0.2005759884802304,0.18623627527449452,0.2325093003720149,0.20644052137557992,267
85,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 3}",0.20261594768104638,0.16955660886782264,0.2701908076323053,0.21412112139372477,234
86,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 4}",0.20603587928241435,0.2380152396952061,0.21144845793831754,0.21849985897197932,204
87,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 5}",0.17813643727125458,0.19319613607727845,0.17040681627265092,0.18057979654039466,344
88,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 6}",0.24131517369652608,0.21767564648707025,0.22362894515780632,0.22753992178046756,158
89,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 7}",0.14519709605807885,0.25475490490190195,0.24144965798631945,0.2138005529821001,235
90,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 20}",0.23987520249595007,0.2115557688846223,0.2125285011400456,0.22131982417353932,194
91,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 2}",0.2249355012899742,0.21485570288594227,0.19452778111124444,0.21143966176238696,246
92,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 3}",0.2356152876942461,0.2010559788804224,0.202868114724589,0.21317979376641916,238
93,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 4}",0.19169616607667847,0.21749565008699825,0.16986679467178686,0.19301953694515453,307
94,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 5}",0.23225535489290214,0.2266154676906462,0.18738749549982,0.21541943936112276,225
95,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 6}",0.17039659206815863,0.17891642167156657,0.23178927157086285,0.19370076177019602,305
