,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.3279569892473118,0.34554537885095754,0.30385487528344673,0.2427071178529755,0.2916666666666667,0.36185819070904646,0.3233458177278402,0.31230529595015577,0.3639679066374909,0.4315217391304348,0.3321,0.33047299780563266,0.33047299780563266
recall,0.305,0.415,0.268,0.208,0.273,0.296,0.259,0.401,0.499,0.397,0.3321,0.33209999999999995,0.3321
f1-score,0.3160621761658031,0.3771013175829169,0.2848034006376196,0.22401723209477656,0.28202479338842984,0.32563256325632567,0.2876179900055525,0.35113835376532404,0.42091944327288067,0.41354166666666664,0.3321,0.3282858936836296,0.32828589368362954
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.3321,10000.0,10000.0
