,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.30044275774826057,0.5988909426987061,0.2690387016229713,0.3206831119544592,0.2576470588235294,0.47961630695443647,0.3116045845272206,0.665083135391924,0.39121482498284144,0.6815642458100558,0.3566,0.4275785670514405,0.4275785670514405
recall,0.475,0.324,0.431,0.169,0.438,0.2,0.435,0.28,0.57,0.244,0.3566,0.3566,0.3566
f1-score,0.36807438977140644,0.4205061648280337,0.3312836279784781,0.22134905042567124,0.3244444444444444,0.2822865208186309,0.3631051752921536,0.39408866995073893,0.46398046398046394,0.35935198821796754,0.3566,0.35284704957079893,0.3528470495707989
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.3566,10000.0,10000.0
