,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
84,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 2}",0.19763604727905443,0.2394552108957821,0.25705028201128044,0.23138051339537233,99
85,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 3}",0.19835603287934242,0.20309593808123838,0.23478939157566303,0.21208045417874796,162
86,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 4}",0.17987640247195055,0.13193736125277494,0.17982719308772352,0.163880318937483,330
87,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 5}",0.17057658846823062,0.19481610367792643,0.1577463098523941,0.17437966733285037,283
88,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 6}",0.1992560148797024,0.12149757004859903,0.21672866914676586,0.17916075135835574,262
89,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 7}",0.20801583968320633,0.16739665206695867,0.1999279971198848,0.19178016295668324,216
90,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 20}",0.17051658966820663,0.20321593568128637,0.19740789631585262,0.1903801405551152,224
91,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 2}",0.2125757484850303,0.17795644087118256,0.1935677427097084,0.19469997735530709,202
92,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 3}",0.17957640847183057,0.20249595008099838,0.23028921156846274,0.20412052337376388,176
93,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 4}",0.1630167396652067,0.1756764864702706,0.22578903156126245,0.18816075256557988,234
94,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 5}",0.2009959800803984,0.20519589608207836,0.23466938677547103,0.2136204209793159,158
95,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 6}",0.1979360412791744,0.2106557868842623,0.20574822992919717,0.2047800193642113,171
96,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 7}",0.1609167816643667,0.22001559968800624,0.1905676227049082,0.19050000135242706,221
97,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.001, 'degree': 20}",0.17285654286914262,0.22223555528889422,0.16074642985719428,0.1852795093384104,241
98,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 2}",0.18443631127377452,0.17399652006959862,0.20028801152046083,0.18624028095461131,239
99,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 3}",0.19241615167696646,0.21935561288774225,0.1998079923196928,0.20385991896146716,178
100,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 4}",0.18425631487370253,0.19025619487610249,0.1937477499099964,0.18942008655326714,229
101,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 5}",0.17651646967060658,0.1882162356752865,0.20028801152046083,0.1883402389554513,233
102,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 6}",0.18983620327593448,0.19595608087838243,0.21192847713908555,0.1992402537644675,188
103,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 7}",0.20405591888162236,0.19571608567828644,0.20028801152046083,0.2000200053601232,185
104,"{'C': 1e-08, 'kernel': 'poly', 'gamma': 0.01, 'degree': 20}",0.19511609767804644,0.19049619007619847,0.1857674306972279,0.19045990615049094,223
105,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 2}",0.1483770324593508,0.12245755084898302,0.12606504260170406,0.13229987530334597,422
106,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 3}",0.1126177476450471,0.15395692086158277,0.10128405136205448,0.12261957328956145,453
107,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 4}",0.11807763844723106,0.14207715845683086,0.13872554902196088,0.13296011530867427,419
108,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 5}",0.10451790964180717,0.11579768404631907,0.10128405136205448,0.10719988168339357,480
109,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 6}",0.13997720045599088,0.10409791804163916,0.16362654506180246,0.13590055451981084,414
110,"{'C': 1e-07, 'kernel': 'poly', 'gamma': 1e-08, 'degree': 7}",0.10253794924101518,0.1361372772544549,0.1484459378375135,0.12904038811099452,432
