,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.2943508424182359,0.2505643340857788,0.2528497409326425,0.20967741935483872,0.35543766578249336,0.21364985163204747,0.2607964105440269,0.4583333333333333,0.34095063985374774,0.31086439333862015,0.2804,0.2947474631275765,0.2947474631275765
recall,0.594,0.222,0.244,0.026,0.134,0.288,0.465,0.066,0.373,0.392,0.2804,0.2804,0.2804
f1-score,0.3936381709741551,0.2354188759278897,0.2483460559796438,0.046263345195729534,0.19462599854756718,0.2453151618398637,0.3341717570966583,0.11538461538461539,0.3562559694364852,0.34674922600619196,0.2804,0.25161691763888,0.25161691763888
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.2804,10000.0,10000.0
