,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
10,0.013532257080078125,0.0010693688316476115,0.11027441024780274,0.007266795124883479,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.132,0.123,0.1294,0.119,0.128,0.1314,0.1178,0.1268,0.1094,0.1294,0.12462,0.006889673432028545,38
11,0.014824867248535156,0.0009633827174542297,0.12590863704681396,0.004209720977466267,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.1414,0.125,0.1396,0.1264,0.131,0.1222,0.1284,0.1276,0.1254,0.1342,0.13011999999999999,0.006073680926752738,34
12,0.014311122894287109,0.001458831808955974,0.12361905574798585,0.005352703682506728,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.136,0.1328,0.1438,0.1328,0.1308,0.1262,0.1332,0.1376,0.1306,0.1344,0.13382000000000002,0.004460896770829831,31
13,0.014039754867553711,0.0005957566319644996,0.13026220798492433,0.004413694544275044,euclidean,10,"{'metric': 'euclidean', 'n_neighbors': 10}",0.1522,0.151,0.1484,0.135,0.1428,0.1436,0.1432,0.1462,0.133,0.1398,0.14351999999999998,0.006000133331851881,25
14,0.013390541076660156,0.0006279444529721915,0.13629014492034913,0.00564857307116197,euclidean,25,"{'metric': 'euclidean', 'n_neighbors': 25}",0.1622,0.1564,0.1482,0.1494,0.1548,0.1498,0.1472,0.1552,0.1436,0.1544,0.15211999999999998,0.0051646490684266275,22
15,0.013571047782897949,0.0007886314850653632,0.15169887542724608,0.0024484661515635354,euclidean,50,"{'metric': 'euclidean', 'n_neighbors': 50}",0.1646,0.1586,0.1622,0.1608,0.1652,0.1586,0.1584,0.1536,0.1556,0.1618,0.15994,0.0035168736116044947,18
16,0.013422489166259766,0.0005684024834198402,0.1832590103149414,0.004089322741665764,euclidean,100,"{'metric': 'euclidean', 'n_neighbors': 100}",0.183,0.1698,0.1742,0.1688,0.1744,0.1674,0.1692,0.1696,0.1668,0.1702,0.17134,0.004553723750953718,10
17,0.014041447639465332,0.000911220790765722,0.8642742395401001,0.03298975000629002,euclidean,1000,"{'metric': 'euclidean', 'n_neighbors': 1000}",0.1832,0.1854,0.1808,0.1798,0.175,0.1822,0.1792,0.1826,0.173,0.1752,0.17964,0.0038479085228212023,2
18,0.015355896949768067,0.0008944006437589991,4.2614083051681515,0.10414210598458823,euclidean,5000,"{'metric': 'euclidean', 'n_neighbors': 5000}",0.1738,0.178,0.1684,0.1764,0.1698,0.1728,0.1766,0.1714,0.1706,0.1684,0.17262,0.0033111327366929896,7
19,0.015874719619750975,0.00038915761398113384,8.15299894809723,0.21674996393824053,euclidean,10000,"{'metric': 'euclidean', 'n_neighbors': 10000}",0.168,0.1722,0.1706,0.1702,0.1688,0.1734,0.1694,0.1706,0.1664,0.1654,0.16949999999999998,0.0023362362894193737,13
