,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score
41,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 100, 'degree': 5}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
42,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 100, 'degree': 10}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
43,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 100, 'degree': 50}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
44,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 2}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
45,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 3}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
46,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 4}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
47,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 5}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
48,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 10}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
49,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 50}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
50,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 2}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
51,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 3}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
52,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 4}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
53,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 5}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
54,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 10}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
55,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 50}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
56,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 2}",0.23327533449331014,0.2009959800803984,0.2249489979599184,0.21974010417787562
57,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 3}",0.2373552528949421,0.21917561648767026,0.2127085083403336,0.22307979257431532
58,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 4}",0.21965560688786223,0.23411531769364613,0.2437297491899676,0.232500224590492
59,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 5}",0.21845563088738226,0.22013559728805424,0.21642865714628584,0.21833996177390746
60,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 10}",0.22259554808903823,0.23009539809203816,0.2016680667226689,0.2181196709679151
61,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 50}",0.22913541729165415,0.2380152396952061,0.23220928837153487,0.23311998178613172
62,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 2}",0.2599748005039899,0.25589488210235795,0.26179047161886476,0.2592200514084042
63,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 3}",0.2672946541069179,0.2624947501049979,0.2559702388095524,0.2619198810071561
64,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 4}",0.2649547009059819,0.24809503809923802,0.2628705148205928,0.25864008460860427
65,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 5}",0.25565488690226196,0.24809503809923802,0.26155046201848076,0.25510012900666024
66,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 10}",0.2652546949061019,0.25589488210235795,0.24624984999399976,0.25579980900081983
67,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 50}",0.2609347813043739,0.25595488090238194,0.25291011640465616,0.25659992620380395
68,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 2}",0.24647507049859002,0.248395032099358,0.24552982119284772,0.24679997459693193
69,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 3}",0.23843523129537408,0.251154976900462,0.25237009480379213,0.24732010099987609
70,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 4}",0.24731505369892604,0.251094978100438,0.2437897515900636,0.24739992779647588
71,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 5}",0.25325493490130196,0.24869502609947802,0.25201008040321615,0.25132001380133207
72,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 10}",0.24875502489950202,0.25313493730125397,0.24552982119284772,0.2491399277978679
73,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 50}",0.24491510169796604,0.24389512209755804,0.2518900756030241,0.24690009979951608
74,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 2}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
75,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
