,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.649059982094897,0.7085561497326203,0.6031746031746031,0.46672914714151825,0.6798780487804879,0.557632398753894,0.6452674897119342,0.6391304347826087,0.7451971688574317,0.7139896373056995,0.6402,0.6408615060335695,0.6408615060335695
recall,0.725,0.795,0.456,0.498,0.446,0.537,0.784,0.735,0.737,0.689,0.6402,0.6402000000000001,0.6402
f1-score,0.6849315068493151,0.7492931196983977,0.5193621867881548,0.4818577648766328,0.5386473429951691,0.5471217524197656,0.707900677200903,0.6837209302325581,0.7410759175465057,0.7012722646310432,0.6402,0.6355183463238445,0.6355183463238444
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.6402,10000.0,10000.0
