,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.3215223097112861,0.256140350877193,0.25443786982248523,0.2638888888888889,0.25170068027210885,0.3045977011494253,0.3521545319465082,0.24412532637075718,0.3728813559322034,0.3106457242582897,0.2875,0.29320947392291463,0.2932094739229146
recall,0.49,0.511,0.172,0.019,0.333,0.053,0.237,0.374,0.33,0.356,0.2875,0.2875,0.2875
f1-score,0.38827258320126784,0.3412353923205343,0.2052505966587112,0.03544776119402985,0.28669823504089537,0.09028960817717206,0.28332337118948003,0.2954186413902054,0.35013262599469497,0.33178005591798687,0.2875,0.2607848871084978,0.2607848871084978
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.2875,10000.0,10000.0
