,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score,RankScore
216,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-07, 'degree': 20}",0.247795044099118,0.2872142557148857,0.265750630025201,0.26691997661306827,293
217,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 2}",0.3100137997240055,0.3292734145317094,0.2388695547821913,0.2927189230126354,224
218,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 3}",0.33035339293214133,0.24107517849643006,0.2690507620304812,0.2801597778196842,264
219,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 4}",0.256434871302574,0.33119337613247735,0.3189127565102604,0.30218033464843724,195
220,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 5}",0.2737745245095098,0.3021539569208616,0.32419296771870876,0.3000404830496934,200
221,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 6}",0.3385732285354293,0.24977500449991,0.25399015960638427,0.28077946421390787,261
222,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 7}",0.3101337973240535,0.2696346073078538,0.30409216368654746,0.2946201894394849,215
223,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-06, 'degree': 20}",0.3124137517249655,0.24137517249655008,0.3253330133205328,0.2930406458473495,222
224,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 2}",0.3294534109317814,0.3144537109257815,0.3501740069602784,0.3313603762726138,117
225,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 3}",0.31547369052618945,0.3560328793424132,0.35647425897035884,0.34266027627965384,72
226,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 4}",0.37217255654886905,0.3402531949361013,0.32587303492139685,0.3460995954687891,67
227,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 5}",0.3306533869322614,0.3292134157316854,0.31039241569662784,0.3234197394535248,134
228,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 6}",0.3499130017399652,0.35177296454070917,0.34891395655826235,0.35019997427964555,60
229,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 7}",0.33125337493250134,0.32885342293154135,0.28225129005160204,0.3141193626385483,166
230,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 1e-05, 'degree': 20}",0.34109317813643725,0.3617927641447171,0.36697467898715946,0.356620207089438,43
231,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 2}",0.374272514549709,0.36521269574608506,0.35695427817112685,0.3654798294889736,10
232,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 3}",0.3515329693406132,0.3157136857262855,0.33199327973118925,0.33307997826602936,112
233,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 4}",0.3413931721365573,0.3605927881442371,0.36085443417736707,0.3542801314860538,49
234,"{'C': 1e-05, 'kernel': 'poly', 'gamma': 0.0001, 'degree': 5}",0.371812563748725,0.3404931901361973,0.33685347413896555,0.34971974267462924,63
