,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.34129353233830845,0.37072243346007605,0.33013435700575816,0.2198952879581152,0.32572115384615385,0.35129533678756475,0.3036332179930796,0.29048656499636893,0.4145251396648045,0.3864734299516908,0.3327,0.333418045400192,0.33341804540019204
recall,0.343,0.39,0.172,0.21,0.271,0.339,0.351,0.4,0.371,0.48,0.3327,0.33270000000000005,0.3327
f1-score,0.34214463840399006,0.3801169590643275,0.22616699539776464,0.21483375959079287,0.2958515283842795,0.3450381679389313,0.3256029684601113,0.33655868742111905,0.39155672823219,0.42818911685994654,0.3327,0.32860595497534534,0.3286059549753453
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.3327,10000.0,10000.0
