,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.48704663212435234,0.28,0.33060556464811786,0.19438444924406048,0.30980861244019137,0.24918032786885247,0.27225403435710566,0.3592057761732852,0.42697768762677485,0.3689727463312369,0.3167,0.32784358308139777,0.32784358308139766
recall,0.376,0.427,0.202,0.18,0.259,0.228,0.523,0.199,0.421,0.352,0.3167,0.3167,0.3167
f1-score,0.4243792325056433,0.33821782178217824,0.2507759155803849,0.18691588785046728,0.28213507625272327,0.23812010443864232,0.35809654228004106,0.2561132561132561,0.42396777442094663,0.3602865916069601,0.3167,0.3119008202831243,0.3119008202831243
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.3167,10000.0,10000.0
