,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.48625429553264604,0.30045425048669694,0.3270440251572327,0.25523012552301255,0.30727272727272725,0.240981240981241,0.28879310344827586,0.33237410071942447,0.3975026014568158,0.33187454412837347,0.3188,0.32677810147064457,0.3267781014706446
recall,0.283,0.463,0.156,0.244,0.338,0.167,0.469,0.231,0.382,0.455,0.3188,0.31880000000000003,0.3188
f1-score,0.3577749683944374,0.36442345533254616,0.21123899796885579,0.2494887525562372,0.3219047619047619,0.19728292971057296,0.3574695121951219,0.27256637168141595,0.38959714431412545,0.383804301982286,0.3188,0.31055511960403603,0.3105551196040361
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.3188,10000.0,10000.0
