,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
17,0.014012670516967774,0.0004635110331124827,0.8374438047409057,0.04452932525363164,euclidean,1000,"{'metric': 'euclidean', 'n_neighbors': 1000}",0.2154,0.216,0.2088,0.2006,0.2218,0.21,0.208,0.206,0.2154,0.208,0.211,0.005808269966177538,7
18,0.01637003421783447,0.0009232901152822208,4.519363856315612,0.13133976432879252,euclidean,5000,"{'metric': 'euclidean', 'n_neighbors': 5000}",0.2156,0.2184,0.2086,0.1994,0.22,0.2078,0.2052,0.214,0.2094,0.2158,0.21142000000000002,0.0061151941915200065,3
19,0.016819238662719727,0.0005850148243304465,8.870617747306824,0.12659944665922607,euclidean,10000,"{'metric': 'euclidean', 'n_neighbors': 10000}",0.2104,0.2146,0.2052,0.1986,0.2132,0.2044,0.206,0.209,0.205,0.215,0.20814,0.0049832118156867495,10
20,0.01455068588256836,0.0010874703632254255,0.10768966674804688,0.004334374740054047,chebyshev,1,"{'metric': 'chebyshev', 'n_neighbors': 1}",0.1396,0.1426,0.139,0.1424,0.14,0.135,0.1356,0.1332,0.1344,0.1344,0.13762000000000002,0.00332198735698979,40
21,0.01374828815460205,0.0007128980182754897,0.11499190330505371,0.00484241914811311,chebyshev,3,"{'metric': 'chebyshev', 'n_neighbors': 3}",0.146,0.1472,0.1464,0.1346,0.141,0.139,0.1404,0.1322,0.145,0.1388,0.14106000000000002,0.004859670770741569,36
22,0.014001250267028809,0.0008087010332349242,0.118646240234375,0.003523374055793386,chebyshev,5,"{'metric': 'chebyshev', 'n_neighbors': 5}",0.16,0.1594,0.1614,0.1434,0.154,0.1562,0.1584,0.147,0.1658,0.1558,0.15614,0.006341640166392288,31
23,0.014188194274902343,0.0006975536539768168,0.12377405166625977,0.005339219135914368,chebyshev,10,"{'metric': 'chebyshev', 'n_neighbors': 10}",0.1772,0.1722,0.1714,0.1676,0.1726,0.1662,0.1668,0.1654,0.1638,0.1622,0.16854,0.004415472794616675,28
24,0.01353890895843506,0.0003659715722348274,0.12938668727874755,0.003684351845889511,chebyshev,25,"{'metric': 'chebyshev', 'n_neighbors': 25}",0.1916,0.1894,0.2006,0.1876,0.1878,0.19,0.1814,0.1802,0.1802,0.1842,0.18729999999999997,0.005938518333726014,24
25,0.014136767387390137,0.0004272894971644006,0.14684386253356935,0.0019289878711425022,chebyshev,50,"{'metric': 'chebyshev', 'n_neighbors': 50}",0.1946,0.1956,0.1988,0.195,0.2068,0.1996,0.2008,0.1918,0.1902,0.192,0.19651999999999997,0.0047767771562006135,17
26,0.013941431045532226,0.0004301799339307178,0.17870545387268066,0.003745709245529712,chebyshev,100,"{'metric': 'chebyshev', 'n_neighbors': 100}",0.2094,0.2018,0.2026,0.2016,0.2146,0.199,0.2002,0.1942,0.1956,0.1988,0.20178000000000001,0.005812710211252581,15
27,0.014090657234191895,0.00023716727552982808,0.83890860080719,0.012857525016982908,chebyshev,1000,"{'metric': 'chebyshev', 'n_neighbors': 1000}",0.213,0.2186,0.2114,0.2014,0.2196,0.2102,0.2112,0.2078,0.2124,0.2084,0.21139999999999998,0.004960645119336795,5
