,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
22,0.013316035270690918,0.00028274538179410115,0.11679377555847167,0.0034878849663582787,chebyshev,5,"{'metric': 'chebyshev', 'n_neighbors': 5}",0.1462,0.157,0.1474,0.1486,0.1524,0.148,0.1412,0.1472,0.1552,0.154,0.14972000000000002,0.004576636319394411,29
23,0.013452553749084472,0.0004890137498038636,0.11929032802581788,0.0010161143152104199,chebyshev,10,"{'metric': 'chebyshev', 'n_neighbors': 10}",0.167,0.163,0.1612,0.1662,0.173,0.16,0.1536,0.1594,0.1658,0.1648,0.1634,0.004992794808521576,25
24,0.013403940200805663,0.0004677235964334421,0.12676429748535156,0.0016345423248904478,chebyshev,25,"{'metric': 'chebyshev', 'n_neighbors': 25}",0.1858,0.1828,0.1858,0.177,0.1792,0.1742,0.177,0.1778,0.1726,0.1732,0.17854,0.0046035203920478055,24
25,0.013559508323669433,0.000495474491179156,0.1418362855911255,0.0013690115401372347,chebyshev,50,"{'metric': 'chebyshev', 'n_neighbors': 50}",0.197,0.1904,0.1924,0.196,0.1892,0.1874,0.1834,0.183,0.1836,0.184,0.18864,0.0049934356909847166,19
26,0.013499879837036132,0.00039847323303486256,0.1725672721862793,0.002935959681623947,chebyshev,100,"{'metric': 'chebyshev', 'n_neighbors': 100}",0.2016,0.2038,0.1988,0.1984,0.1962,0.1918,0.1956,0.1914,0.187,0.1936,0.19582,0.0048087004481460515,13
27,0.013602209091186524,0.00037685561341441464,0.8132821559906006,0.017199926894349807,chebyshev,1000,"{'metric': 'chebyshev', 'n_neighbors': 1000}",0.2106,0.2072,0.2032,0.1982,0.2072,0.206,0.2018,0.1976,0.2036,0.203,0.20383999999999997,0.003860362677262334,4
28,0.015939736366271974,0.000892146371684049,4.187580204010009,0.012992822059098536,chebyshev,5000,"{'metric': 'chebyshev', 'n_neighbors': 5000}",0.2104,0.2046,0.2038,0.1956,0.209,0.1986,0.1946,0.1996,0.2028,0.2114,0.20304000000000003,0.005663779656731008,8
29,0.016370177268981934,0.00037117483816770245,8.118332147598267,0.027848174127048157,chebyshev,10000,"{'metric': 'chebyshev', 'n_neighbors': 10000}",0.2038,0.2026,0.194,0.1934,0.2028,0.193,0.194,0.198,0.1972,0.2064,0.19851999999999997,0.004738100885375914,12
30,0.014180421829223633,0.0009351561074278076,0.10554163455963135,0.0019632975274732336,minkowski,1,"{'metric': 'minkowski', 'n_neighbors': 1}",0.141,0.127,0.1312,0.1274,0.135,0.1342,0.127,0.1326,0.146,0.1388,0.13402,0.006069892915035646,38
31,0.013556718826293945,0.00028396305361790914,0.11454963684082031,0.0018998962007775355,minkowski,3,"{'metric': 'minkowski', 'n_neighbors': 3}",0.1292,0.1394,0.1398,0.1394,0.1492,0.1388,0.135,0.1348,0.1366,0.1404,0.13826000000000002,0.004867894822199836,33
32,0.013361334800720215,0.00028168937183429795,0.11656451225280762,0.0016668716850279063,minkowski,5,"{'metric': 'minkowski', 'n_neighbors': 5}",0.1432,0.155,0.1516,0.1484,0.1558,0.1426,0.1438,0.1504,0.1508,0.1486,0.14902,0.0044312075103745685,30
33,0.013335180282592774,0.00039420582092794917,0.11880731582641602,0.0007022038110988063,minkowski,10,"{'metric': 'minkowski', 'n_neighbors': 10}",0.1678,0.1692,0.1626,0.1616,0.1738,0.1552,0.1554,0.1596,0.1636,0.158,0.16268,0.005785637389259717,26
34,0.013532519340515137,0.0003428169877934832,0.13075997829437255,0.000763299919818995,minkowski,25,"{'metric': 'minkowski', 'n_neighbors': 25}",0.185,0.1804,0.1872,0.18,0.1824,0.1722,0.1774,0.1756,0.1722,0.1758,0.17881999999999998,0.004840206607160486,22
35,0.013535881042480468,0.00033623017121051026,0.14564177989959717,0.0016217310596323188,minkowski,50,"{'metric': 'minkowski', 'n_neighbors': 50}",0.202,0.1914,0.1922,0.1962,0.1886,0.185,0.1856,0.1864,0.1882,0.1878,0.19034,0.005054146812272082,17
36,0.013471508026123047,0.0003282531065517069,0.1768967628479004,0.003061833112944444,minkowski,100,"{'metric': 'minkowski', 'n_neighbors': 100}",0.2042,0.2002,0.192,0.1974,0.1962,0.189,0.1932,0.1938,0.1874,0.1922,0.19455999999999998,0.004818962543950715,15
37,0.013845992088317872,0.0003924324192104099,0.8158396720886231,0.01400755578720447,minkowski,1000,"{'metric': 'minkowski', 'n_neighbors': 1000}",0.2122,0.2076,0.2038,0.2024,0.211,0.2086,0.2002,0.1982,0.2054,0.2056,0.20550000000000002,0.0042785511566417,1
38,0.015961599349975587,0.0009198229494494192,4.193924427032471,0.021028767202599812,minkowski,5000,"{'metric': 'minkowski', 'n_neighbors': 5000}",0.209,0.2042,0.2054,0.1952,0.2124,0.2002,0.1944,0.2026,0.2018,0.2114,0.20366,0.005848110806063785,5
39,0.01651761531829834,0.00036875117962968575,8.178914332389832,0.026579009029200743,minkowski,10000,"{'metric': 'minkowski', 'n_neighbors': 10000}",0.2054,0.2042,0.1954,0.1948,0.2034,0.1962,0.1934,0.1982,0.1978,0.209,0.19977999999999999,0.005031461020419416,10
