,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.45021961932650073,0.6234676007005254,0.2684964200477327,0.33962264150943394,0.29537366548042704,0.5021367521367521,0.3409549428379287,0.6714579055441479,0.4767616191904048,0.7139240506329114,0.4086,0.46824152174067646,0.4682415217406765
recall,0.615,0.356,0.45,0.18,0.498,0.235,0.507,0.327,0.636,0.282,0.4086,0.4086,0.4086
f1-score,0.5198647506339814,0.4532145130490134,0.336322869955157,0.2352941176470588,0.3708116157855547,0.3201634877384196,0.40772014475271406,0.43981170141223946,0.544987146529563,0.40430107526881714,0.4086,0.40324914227725184,0.40324914227725184
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.4086,10000.0,10000.0
