,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score
41,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 100, 'degree': 5}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
42,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 100, 'degree': 10}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
43,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 100, 'degree': 50}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
44,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 2}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
45,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 3}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
46,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 4}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
47,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 5}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
48,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 10}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
49,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 50}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
50,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 2}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
51,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 3}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
52,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 4}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
53,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 5}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
54,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 10}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
55,"{'C': 0.0001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 50}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
56,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 2}",0.24809503809923802,0.25229495410091796,0.24030961238449539,0.24689986819488383
57,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 3}",0.25397492050159,0.2622547549049019,0.25957038281531264,0.2586000194072682
58,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 4}",0.25661486770264597,0.2719145617087658,0.26149045961838474,0.2633399630099322
59,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 5}",0.23021539569208616,0.249595008099838,0.24714988599543983,0.24232009659578801
60,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 10}",0.2588348233035339,0.23897522049559008,0.23328933157326293,0.24369979179079562
61,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 50}",0.2387952240955181,0.25715485690286194,0.25489019560782433,0.2502800922020681
62,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 2}",0.26711465770684584,0.2732945341093178,0.2746309852394096,0.27168005901852443
63,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 3}",0.27275454490910184,0.2736545269094618,0.2794911796471859,0.27530008382191656
64,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 4}",0.2684346313073738,0.2738345233095338,0.2640105604224169,0.26875990501310815
65,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 5}",0.2734745305093898,0.2780344393112138,0.26473058922356896,0.2720798530147242
66,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 10}",0.2743145137097258,0.2635747285054299,0.2724108964358574,0.2701000462170044
67,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 50}",0.2718545629087418,0.27887442251154976,0.27787111484459376,0.2762000334216284
68,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 2}",0.2380152396952061,0.2387952240955181,0.24246969878795152,0.23976005419289192
69,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 3}",0.23981520369592607,0.250494990100198,0.2422896915876635,0.24419996179459588
70,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 4}",0.23603527929441412,0.251454970900582,0.23730949237969517,0.24159991419156376
71,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 5}",0.2375352492950141,0.253014939701206,0.24720988839553582,0.24592002579725195
72,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 10}",0.2379552408951821,0.23339533209335814,0.24450978039121565,0.23862011779325196
73,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 50}",0.24095518089638207,0.24815503689926202,0.23292931717268692,0.2406798449894437
74,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 2}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
75,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
