,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.040338754653930664,0.005824673885609536,13.506358623504639,0.36627650117845434,manhattan,1,"{'metric': 'manhattan', 'n_neighbors': 1}",0.24377512449751004,0.24185516289674205,0.23958958358334334,0.2417399569925318,0.0017106806610848468,30
1,0.035436391830444336,0.0007195518799809717,14.801541646321615,0.09470906655863226,manhattan,3,"{'metric': 'manhattan', 'n_neighbors': 3}",0.24521509569808603,0.24239515209695806,0.2440297611904476,0.2438800029951639,0.0011560972035766501,29
2,0.03581666946411133,0.0003583692706940047,15.689486344655355,0.11287747828968503,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.2650746985060299,0.2624947501049979,0.2668306732269291,0.26480004061265233,0.0017807554667650424,20
3,0.03583518664042155,0.0002057569681013224,16.123922904332478,0.060482212832946886,manhattan,7,"{'metric': 'manhattan', 'n_neighbors': 7}",0.2741345173096538,0.27041459170816584,0.2734309372374895,0.2726600154184364,0.0016135265638698695,16
4,0.034868081410725914,0.00041443798688578227,16.35140299797058,0.08962579649746019,manhattan,10,"{'metric': 'manhattan', 'n_neighbors': 10}",0.2818743625127497,0.28091438171236577,0.2775111004440178,0.2800999482230444,0.0018720737879875083,15
5,0.0354769229888916,0.0005382319709441073,17.712029377619427,0.11277972119189215,manhattan,25,"{'metric': 'manhattan', 'n_neighbors': 25}",0.2962140757184856,0.3001739965200696,0.2956918276731069,0.2973599666372207,0.0020012094495413415,8
6,0.03632799784342448,0.0001523759399715283,18.699208974838257,0.15940920495125835,manhattan,50,"{'metric': 'manhattan', 'n_neighbors': 50}",0.2999940001199976,0.2984340313193736,0.30019200768030724,0.29954001303989286,0.0007862138907773526,3
7,0.035907745361328125,0.0003969525906450606,19.392589330673218,0.09556110222570705,manhattan,100,"{'metric': 'manhattan', 'n_neighbors': 100}",0.29429411411771766,0.2984940301193976,0.297071882875315,0.2966200090374767,0.0017441265396149512,9
8,0.035741329193115234,0.0005171209394348169,5.526413679122925,0.02520997118147021,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.249895002099958,0.24671506569868604,0.24234969398775952,0.24631992059546784,0.00309300537411431,27
9,0.035048723220825195,0.0004166777874071706,6.741012970606486,0.0918561936399614,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.24629507409851803,0.24569508609827803,0.24756990279611185,0.246520020997636,0.0007817438809849895,25
10,0.03536717096964518,0.00049414140799094,7.4503646691640215,0.052711444328033694,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.2647147057058859,0.26561468770624586,0.2626305052202088,0.2643199662107802,0.0012498535192146305,21
11,0.03524589538574219,2.4651451138515385e-05,7.7959582805633545,0.06086050181538143,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.2758744825103498,0.27065458690826183,0.2688707548301932,0.27179994141626823,0.002971747865729974,17
12,0.035198609034220375,0.0008261369552465621,8.196539084116617,0.07258353503971196,euclidean,10,"{'metric': 'euclidean', 'n_neighbors': 10}",0.2869142617147657,0.2866742665146697,0.28231129245169806,0.28529994022704447,0.002115563135090299,11
13,0.03812845547993978,0.003502229142506669,9.497036616007486,0.1328747349436222,euclidean,25,"{'metric': 'euclidean', 'n_neighbors': 25}",0.2977140457190856,0.2985540289194216,0.2988719548781951,0.29838000983890073,0.0004884672527245573,4
14,0.036292711893717446,0.00016447038401153527,10.682642857233683,0.06955193132772769,euclidean,50,"{'metric': 'euclidean', 'n_neighbors': 50}",0.30317393652126956,0.2980740385192296,0.2995919836793472,0.3002799862399488,0.002138106724861753,1
15,0.036496480305989586,0.0001215003057660673,11.977188189824423,0.12093911813168425,euclidean,100,"{'metric': 'euclidean', 'n_neighbors': 100}",0.2993940121197576,0.29693406131877365,0.29749189967598705,0.29793999103817276,0.0010530681799593854,6
16,0.034890333811442055,0.0008227566046798073,1.3095334370930989,0.013165625566399755,chebyshev,1,"{'metric': 'chebyshev', 'n_neighbors': 1}",0.2368152636947261,0.22985540289194217,0.234369374774991,0.23368001378721978,0.002882860792930958,31
17,0.03339370091756185,0.0001364433975792676,1.623234748840332,0.010167966718081612,chebyshev,3,"{'metric': 'chebyshev', 'n_neighbors': 3}",0.22967540649187015,0.22961540769184616,0.23586943477739108,0.2317200829870358,0.002934137030893927,32
18,0.03350726763407389,0.000261992789977296,1.7964330514272053,0.00737431238282114,chebyshev,5,"{'metric': 'chebyshev', 'n_neighbors': 5}",0.251634967300654,0.249595008099838,0.2523100924036962,0.25118002260139605,0.0011541668578969033,24
19,0.03396312395731608,0.00030614024569442514,1.9527342319488525,0.01620167489102002,chebyshev,7,"{'metric': 'chebyshev', 'n_neighbors': 7}",0.25685486290274195,0.2576948461030779,0.2613704548181927,0.25864005460800416,0.0019609023305712753,23
20,0.03492267926534017,0.00024232597696564255,2.144544998804728,0.006131866216024391,chebyshev,10,"{'metric': 'chebyshev', 'n_neighbors': 10}",0.2686146277074459,0.27035459290814184,0.26833073322932915,0.26909998461497225,0.0008946807608093722,19
21,0.0354622999827067,0.000635548637870587,2.5975720087687173,0.026856735213242305,chebyshev,25,"{'metric': 'chebyshev', 'n_neighbors': 25}",0.2853542929141417,0.2873342533149337,0.2802712108484339,0.2843199190258365,0.0029747929033240327,13
