,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.32894736842105265,0.2938775510204082,0.22916666666666666,0.15873015873015872,0.32044198895027626,0.21184510250569477,0.23342822285481904,0.2851153039832285,0.2453102453102453,0.22821810005621135,0.2507,0.25350807084987614,0.25350807084987614
recall,0.45,0.216,0.154,0.08,0.058,0.093,0.574,0.136,0.34,0.406,0.2507,0.25070000000000003,0.2507
f1-score,0.3800675675675676,0.24899135446685877,0.18421052631578946,0.10638297872340426,0.09822184589331076,0.12925642807505214,0.3318878288522694,0.18415707515233581,0.28499580888516346,0.29219143576826195,0.2507,0.22403628497000136,0.22403628497000136
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.2507,10000.0,10000.0
