,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.48148148148148145,0.29592959295929594,0.31040564373897706,0.18863049095607234,0.200213561131874,0.21445783132530122,0.25177472787505917,0.3140604467805519,0.37543859649122807,0.3301975540921919,0.274,0.29625899268320327,0.2962589926832034
recall,0.26,0.269,0.176,0.146,0.375,0.178,0.532,0.239,0.214,0.351,0.274,0.27399999999999997,0.274
f1-score,0.33766233766233766,0.2818229439497119,0.22463305679642628,0.1645997745208568,0.26105116602854156,0.19453551912568307,0.34179248313523936,0.2714366837024418,0.27261146496815286,0.34028114396509934,0.274,0.2690426573854491,0.2690426573854491
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.274,10000.0,10000.0
