,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.6849173553719008,0.7166979362101313,0.538860103626943,0.4784090909090909,0.47996918335901384,0.5963636363636363,0.6156274664561957,0.612448132780083,0.7616033755274262,0.7704280155642024,0.6213,0.6255324296168624,0.6255324296168624
recall,0.663,0.764,0.416,0.421,0.623,0.492,0.78,0.738,0.722,0.594,0.6213,0.6213,0.6213
f1-score,0.6737804878048781,0.739593417231365,0.4695259593679458,0.4478723404255319,0.5422106179286336,0.5391780821917809,0.6881340979267756,0.6693877551020408,0.7412731006160166,0.6708074534161491,0.6213,0.6181763312011117,0.6181763312011117
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.6213,10000.0,10000.0
