,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.319634703196347,0.2448080553807426,0.3178694158075601,0.16058394160583941,0.3524720893141946,0.16224518290980172,0.36482084690553745,0.447098976109215,0.4005891016200295,0.4246575342465753,0.2647,0.3194779847095842,0.3194779847095843
recall,0.56,0.389,0.185,0.022,0.221,0.581,0.224,0.131,0.272,0.062,0.2647,0.2647,0.2647
f1-score,0.4069767441860465,0.3005021243723446,0.23388116308470286,0.03869832893579596,0.2716656422864167,0.2536564068980572,0.2775712515489467,0.2026295436968291,0.32400238237045864,0.10820244328097732,0.2647,0.24177860306605753,0.24177860306605753
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.2647,10000.0,10000.0
